id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
1105000787,20140926T000000,240000,3,2.25,1410,7290,1.0,0,0,3,7,940,470,1980,0,98118,47.5396,-122.274,1550,7375
399000195,20141020T000000,200000,3,1.0,960,7500,1.0,0,0,3,6,960,0,1953,0,98178,47.4966,-122.255,1250,6000
522059327,20140528T000000,157500,2,1.0,740,9003,1.0,0,0,3,5,740,0,1949,0,98031,47.4217,-122.197,1230,8050
1061400180,20150106T000000,240000,3,1.0,1550,12670,1.0,0,0,4,7,1550,0,1962,0,98056,47.5024,-122.169,1550,8880
1099600010,20140612T000000,210000,4,1.5,1130,7840,1.0,0,0,4,7,1130,0,1970,0,98023,47.2986,-122.377,1690,7840
7227500830,20140528T000000,151000,2,1.0,720,4222,1.0,0,0,4,5,720,0,1942,0,98056,47.4965,-122.186,860,4785
8155000040,20141030T000000,230000,3,1.0,1020,12289,1.0,0,0,4,7,1020,0,1967,0,98058,47.4235,-122.155,1300,9894
7468900245,20150420T000000,188200,3,1.0,1260,7265,1.0,0,0,4,7,1260,0,1954,0,98002,47.2979,-122.224,940,7200
3352401037,20150108T000000,224000,3,1.75,1760,6300,1.0,0,0,3,7,1060,700,1963,0,98178,47.5003,-122.26,1340,7300
818500490,20141009T000000,153503,2,2.5,1240,3649,2.0,0,0,3,7,1240,0,1986,0,98003,47.3241,-122.322,1400,3721
3313600340,20140616T000000,183000,3,1.75,1070,8100,1.0,0,0,4,6,1070,0,1957,0,98002,47.2853,-122.22,1260,8100
349400100,20140908T000000,237500,3,1.75,1480,7830,1.0,0,0,3,7,1480,0,1980,0,98022,47.1967,-121.998,1130,7553
7812800215,20140808T000000,235000,4,1.0,1500,6360,1.5,0,0,3,6,1500,0,1944,0,98178,47.4979,-122.24,1190,6360
2570600140,20150128T000000,196000,3,2.25,1510,9600,1.0,0,0,1,7,1090,420,1966,0,98028,47.7758,-122.238,1870,10681
6300000364,20140616T000000,235000,2,1.5,880,1805,2.0,0,0,3,7,880,0,1999,0,98133,47.7064,-122.342,880,5060
1665400045,20150428T000000,186375,3,1.0,1000,7636,1.0,0,0,2,7,1000,0,1952,0,98166,47.472,-122.344,1150,7600
3275300440,20141120T000000,230000,2,2.0,1260,10200,1.0,0,0,3,7,1020,240,1983,0,98003,47.2593,-122.312,1560,10200
7523700210,20150415T000000,205000,3,1.0,970,7700,1.0,0,0,4,7,970,0,1959,0,98032,47.3793,-122.304,1160,8250
4027701275,20140718T000000,230000,3,1.0,1240,6195,1.0,0,0,3,6,1240,0,1948,0,98028,47.7681,-122.266,1760,11080
7686203180,20140812T000000,172500,3,1.0,1040,7500,1.0,0,0,4,6,1040,0,1954,0,98198,47.4206,-122.316,1270,8000
1842900030,20150416T000000,234000,3,1.5,1200,11935,1.0,0,0,4,7,1200,0,1968,0,98042,47.3434,-122.082,1350,11935
6896300380,20141002T000000,228000,0,1.0,390,5900,1.0,0,0,2,4,390,0,1953,0,98118,47.526,-122.261,2170,6000
8960000030,20140728T000000,215000,3,1.0,1180,7669,1.0,0,0,4,7,1180,0,1967,0,98058,47.4479,-122.176,1190,7669
6300000226,20140626T000000,240000,4,1.0,1200,2171,1.5,0,0,3,7,1200,0,1933,0,98133,47.7076,-122.342,1130,1598
7137910360,20140729T000000,200000,3,2.0,1290,5757,1.0,0,0,3,7,1290,0,1994,0,98092,47.3175,-122.17,1580,6798
4223000280,20141029T000000,221000,4,1.75,1540,7200,1.0,0,0,3,7,1260,280,1966,0,98003,47.3424,-122.308,1540,8416
7883600700,20150122T000000,157500,2,1.0,670,4500,1.0,0,0,3,5,670,0,1905,0,98108,47.5271,-122.326,1210,4500
9407000920,20141001T000000,234000,3,1.5,1140,10300,1.5,0,0,4,6,1140,0,1967,0,98045,47.4452,-121.77,1250,9975
3831000010,20140806T000000,235000,4,1.5,1760,6150,1.5,0,0,3,7,1760,0,1951,0,98031,47.3871,-122.224,1760,8276
522059158,20140616T000000,230000,3,1.75,1400,6956,1.0,0,0,4,7,1400,0,1957,0,98031,47.4233,-122.198,1400,9375
2599001010,20150326T000000,196000,3,1.0,1090,7400,1.0,0,0,4,7,1090,0,1962,0,98092,47.2923,-122.19,1140,8165
3356402702,20140725T000000,215000,4,2.5,1847,8000,2.0,0,0,3,7,1847,0,2008,0,98001,47.2872,-122.257,1847,8000
7338000950,20141021T000000,187000,3,1.5,1280,4452,2.0,0,0,3,6,1280,0,1985,0,98002,47.3344,-122.216,1070,4366
6929602605,20150203T000000,205000,3,1.75,1200,8631,1.0,0,0,3,7,1200,0,1959,0,98198,47.3864,-122.308,1564,8115
5111400086,20140512T000000,110000,3,1.0,1250,53143,1.0,0,0,5,6,1250,0,1945,0,98038,47.4235,-122.051,1820,217800
8731901940,20150304T000000,218000,5,1.75,1930,8040,1.0,0,0,4,8,1930,0,1966,0,98023,47.3109,-122.376,2370,8000
